"Date update","sObject name","Field name","Field value","Parent SObject name","Parent field name","Parent field value","Error"
"2026-09-16  06:54:27.901","Account","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-09-16  06:54:27.902","Contact","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-09-16  06:54:27.902","Opportunity","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-09-16  06:54:27.902","Installation__c","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-09-16  06:54:27.903","Panel_Batch__c","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
